"","l1_name","l1_code","l2_name","l2_code"
"377","Karnataka",29,"Bellary",565
"378","Karnataka",29,"Chitradurga",566
"379","Karnataka",29,"Davanagere",567
"380","Karnataka",29,"Shimoga",568
"381","Karnataka",29,"Udupi",569
"382","Karnataka",29,"Chikmagalur",570
"383","Karnataka",29,"Tumkur",571
"384","Karnataka",29,"Bangalore",572
"385","Karnataka",29,"Mandya",573
"386","Karnataka",29,"Hassan",574
"387","Karnataka",29,"Dakshina Kannada",575
"388","Karnataka",29,"Kodagu",576
"389","Karnataka",29,"Mysore",577
"390","Karnataka",29,"Chamarajanagar",578
"391","Karnataka",29,"Gulbarga",579
"392","Karnataka",29,"Yadgir",580
"393","Karnataka",29,"Kolar",581
"394","Karnataka",29,"Chikkaballapura",582
"395","Karnataka",29,"Bangalore Rural",583
"396","Karnataka",29,"Ramanagara",584
"397","Himachal Pradesh",2,"Chamba",23
"398","Himachal Pradesh",2,"Kangra",24
"399","Himachal Pradesh",2,"Lahul & Spiti",25
"400","Himachal Pradesh",2,"Kullu",26
"401","Himachal Pradesh",2,"Mandi",27
"402","Himachal Pradesh",2,"Hamirpur",28
"403","Himachal Pradesh",2,"Una",29
"404","Himachal Pradesh",2,"Bilaspur",30
"405","Himachal Pradesh",2,"Solan",31
"406","Himachal Pradesh",2,"Sirmaur",32
"407","Himachal Pradesh",2,"Shimla",33
"408","Himachal Pradesh",2,"Kinnaur",34
"409","Goa",30,"North Goa",585
"410","Goa",30,"South Goa",586
"411","Lakshadweep",31,"Lakshadweep",587
"412","Kerala",32,"Kasaragod",588
"413","Kerala",32,"Kannur",589
"414","Kerala",32,"Wayanad",590
"415","Kerala",32,"Kozhikode",591
"416","Kerala",32,"Malappuram",592
"417","Kerala",32,"Palakkad",593
"418","Kerala",32,"Thrissur",594
"419","Kerala",32,"Ernakulam",595
"420","Kerala",32,"Idukki",596
"421","Kerala",32,"Kottayam",597
"422","Kerala",32,"Alappuzha",598
"423","Kerala",32,"Pathanamthitta",599
"424","Kerala",32,"Kollam",600
"425","Kerala",32,"Thiruvananthapuram",601
"426","Tamil Nadu",33,"Thiruvallur",602
"427","Tamil Nadu",33,"Chennai",603
"428","Tamil Nadu",33,"Kancheepuram",604
"429","Tamil Nadu",33,"Vellore",605
"430","Tamil Nadu",33,"Tiruvannamalai",606
"431","Tamil Nadu",33,"Viluppuram",607
"432","Tamil Nadu",33,"Salem",608
"433","Tamil Nadu",33,"Namakkal",609
"434","Tamil Nadu",33,"Erode",610
"435","Tamil Nadu",33,"The Nilgiris",611
"436","Tamil Nadu",33,"Dindigul",612
"437","Tamil Nadu",33,"Karur",613
"438","Tamil Nadu",33,"Tiruchirappalli",614
"439","Tamil Nadu",33,"Perambalur",615
"440","Tamil Nadu",33,"Ariyalur",616
"441","Tamil Nadu",33,"Cuddalore",617
"442","Tamil Nadu",33,"Nagapattinam",618
"443","Tamil Nadu",33,"Thiruvarur",619
"444","Tamil Nadu",33,"Thanjavur",620
"445","Tamil Nadu",33,"Pudukkottai",621
"446","Tamil Nadu",33,"Sivaganga",622
"447","Tamil Nadu",33,"Madurai",623
"448","Tamil Nadu",33,"Theni",624
"449","Tamil Nadu",33,"Virudhunagar",625
"450","Tamil Nadu",33,"Ramanathapuram",626
"451","Tamil Nadu",33,"Thoothukkudi",627
"452","Tamil Nadu",33,"Tirunelveli",628
"453","Tamil Nadu",33,"Kanniyakumari",629
"454","Tamil Nadu",33,"Dharmapuri",630
"455","Tamil Nadu",33,"Krishnagiri",631
"456","Tamil Nadu",33,"Coimbatore",632
"457","Tamil Nadu",33,"Tiruppur",633
"458","Puducherry",34,"Yanam",634
"459","Puducherry",34,"Puducherry",635
"460","Puducherry",34,"Mahe",636
"461","Puducherry",34,"Karaikal",637
"462","Andaman & Nicobar Islands",35,"Nicobars",638
"463","Andaman & Nicobar Islands",35,"North  & Middle Andaman",639
"464","Andaman & Nicobar Islands",35,"South Andaman",640
"465","Punjab",3,"Gurdaspur",35
"466","Punjab",3,"Kapurthala",36
"467","Punjab",3,"Jalandhar",37
"468","Punjab",3,"Hoshiarpur",38
"469","Punjab",3,"Shahid Bhagat Singh Nagar",39
"470","Punjab",3,"Fatehgarh Sahib",40
"471","Punjab",3,"Ludhiana",41
"472","Punjab",3,"Moga",42
"473","Punjab",3,"Firozpur",43
"474","Punjab",3,"Muktsar",44
"475","Punjab",3,"Faridkot",45
"476","Punjab",3,"Bathinda",46
"477","Punjab",3,"Mansa",47
"478","Punjab",3,"Patiala",48
"479","Punjab",3,"Amritsar",49
"480","Punjab",3,"Tarn Taran",50
"481","Punjab",3,"Rupnagar",51
"482","Punjab",3,"Sahibzada Ajit Singh Nagar",52
"483","Punjab",3,"Sangrur",53
"484","Punjab",3,"Barnala",54
"485","Chandigarh",4,"Chandigarh",55
"486","Uttarakhand",5,"Uttarkashi",56
"487","Uttarakhand",5,"Chamoli",57
